Sample_decription,Site,Location,Date,TotN,NH4,Nox,TotKjN,BD_totalN,Urea,TSS,Ca ,Mg ,Na ,K,S ,P ,TotC,TotOrgC,DissOrgC,DissOrgN,TotDissN,TotSusN,DissKjN,TotSusP,DissOrgP,DissKjP
P2R2_Silkwood_drain_grab_sample,Silkwood,drain,8/01/2015,3.38,0.053,3.07,0.3,3.42,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,9/02/2015,20.2,0.049,20.2,0,20.25,0.042,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,9/02/2015,14.7,0.103,12.8,1.93,14.83,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,9/02/2015,11.2,0.046,11.2,0,11.25,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,9/02/2015,5.73,0.045,5.71,0,5.76,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,9/02/2015,2.57,0.059,2.37,0.21,2.64,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_North_drain,Silkwood,North_drain,9/02/2015,1.54,0.05,1.52,0,1.57,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_South_drain,Silkwood,South_drain,9/02/2015,0.34,0.053,0.18,0.16,0.39,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,16/02/2015,3.05,0.038,3.03,0,3.07,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,16/02/2015,3.87,0.066,3.85,0,3.92,0.037,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,16/02/2015,1.96,0.042,1.94,0,1.98,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,16/02/2015,1.38,0.037,1.25,0.14,1.43,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,16/02/2015,0.6,0.048,0.288,0.31,0.65,0.031,,,,,,,,,,,,,,,,,
P2R2_Silkwood_North_drain,Silkwood,North_drain,16/02/2015,1.37,0.045,1.35,0,1.40,0.06,,,,,,,,,,,,,,,,,
P2R2_Silkwood_South_drain,Silkwood,South_drain,16/02/2015,1.99,0.061,1.44,0.56,2.06,0.034,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,19/02/2015,2.78,0.048,2.76,0,2.81,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,19/02/2015,0.76,0.052,0.655,0.11,0.82,0,,,,,,,,,,,,,,,,,
P2R2_Silkwood_North_drain,Silkwood,North_drain,9/03/2015,0.2,0.024,0.005,0.19,0.22,,,2.9,0.9,7,0,0,0,,,,,,,,,,
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,11/03/2015,6.72,0.008,6.7,0,6.71,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,11/03/2015,6.22,0.011,5.65,0.57,6.23,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,11/03/2015,7.5,0.003,7.48,0,7.48,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,11/03/2015,3.96,0.003,3.94,0,3.94,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,11/03/2015,1.48,0.016,0.901,0.58,1.50,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_North_drain,Silkwood,North_drain,11/03/2015,2.44,0.016,2.32,0.12,2.46,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_South_drain,Silkwood,South_drain,11/03/2015,1.13,0.028,1.02,0.11,1.16,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,16/03/2015,3.02,0.004,2.87,0.15,3.02,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,16/03/2015,1.36,0.006,0.768,0.59,1.36,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,16/03/2015,1.63,0.005,1.61,0,1.62,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,16/03/2015,0.79,0.004,0.709,0.09,0.80,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,16/03/2015,0.39,0.02,0.195,0.19,0.41,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_North_drain,Silkwood,North_drain,16/03/2015,2.9,0.015,2.88,0,2.90,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_South_drain,Silkwood,South_drain,16/03/2015,0.32,0.02,0.165,0.16,0.35,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,23/03/2015,0.55,0.016,0.248,0.3,0.56,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,21/12/2015,5.9,0.929,4.8,1.1,6.83,,,14.4,2.2,10,6,1.75,0,,,1.8,0.07,5.8,0.1,1,0,0,0
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,21/12/2015,3.81,0.183,3.59,0.22,3.99,,,19.5,2.2,11,5,1.65,0,,,2.4,0,3.79,0,0.2,0,0,0
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,24/12/2015,0.81,0.023,0.43,0.38,0.83,,4,5.5,1.3,8,0,1.8,0,3.2,2.9,2.4,0.22,0.67,0.14,0.24,0,0,0
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,24/12/2015,2.24,0.036,2.22,0,2.26,,,8.9,1.4,9,3,1.24,0,,,1.1,0,2.24,0,0,0,0,0
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,24/12/2015,13.2,0.027,13,0.18,13.21,,,10.6,1.2,9,2,1.41,0,,,1.4,0.1,13.1,0.05,0.12,0,0,0
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,24/12/2015,,0.022,0.915,0.55,1.49,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,24/12/2015,,0.085,1.44,0.66,2.19,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,28/12/2015,2.05,0.028,1.32,0.73,2.08,,5,8.7,1.5,9,3,1.44,0,5,3.7,3,0.36,1.71,0.34,0.39,0,0,0
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,28/12/2015,2.12,0.014,2.1,0,2.11,,,9.3,1.4,9,2,1.17,0,,,1.1,0,2.12,0,0,0,0,0
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,28/12/2015,1.27,0.006,0.75,0.52,1.28,,,12.4,1.4,10,3,1.69,0,,,3.9,0.45,1.2,0.06,0.45,0.03,0,0
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,31/12/2015,1.15,0.055,0.798,0.35,1.20,,2,5,1.2,7,2,1.27,0,3,2,1.9,0.14,1,0.16,0.2,0,0,0
P2R2_Silkwood_North_drain,Silkwood,North_drain,31/12/2015,0.85,0.007,0.525,0.32,0.85,,,,,,,,,1.6,1.3,1,0.11,0.65,0.2,0.12,0,0,0
P2R2_Silkwood_South_drain,Silkwood,South_drain,31/12/2015,0.21,0.008,0.08,0.13,0.22,,,,,,,,,1.5,1.1,1.1,0.06,0.15,0.06,0.07,0,0,0
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,31/12/2015,3.02,0.16,2.81,0.21,3.18,,,10.7,1.7,9,6,1.91,0,,,2.1,0,3,0,0.19,0,0,0
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,31/12/2015,0.38,0.022,0.166,0.21,0.40,,,9.6,1.3,9,6,1.66,0,,,2.3,0.12,0.3,0.07,0.14,0,0,0
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,31/12/2015,,0.071,0.869,0.53,1.47,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,31/12/2015,,0.053,1.53,0.5,2.08,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,4/03/2016,1.02,0.025,0.637,0.39,1.05,,47,,,,,,,,4.9,3.8,0.38,1.04,0,0.4,0,0,0.04
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,7/03/2016,0.74,0.016,0.314,0.43,0.76,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,7/03/2016,0.46,0.005,0.219,0.24,0.46,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,7/03/2016,0.24,0.007,0.025,0.21,0.24,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,7/03/2016,0.42,0.022,0.175,0.24,0.44,,4,,,,,,,,2.3,1.7,0.13,0.33,0.09,0.15,0,0,0
P2R2_Silkwood_North_drain,Silkwood,North_drain,7/03/2016,0.16,0.01,0.039,0.12,0.17,,3,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,10/03/2016,0.21,0.006,0.008,0.2,0.21,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,10/03/2016,0.41,0.02,0.122,0.29,0.43,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,10/03/2016,0.31,0.022,0.106,0.2,0.33,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,10/03/2016,0.25,0.004,0.013,0.24,0.26,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,10/03/2016,0.71,0.028,0.456,0.25,0.73,,9,,,,,,,,2.7,2.2,0.22,0.71,0,0.25,0,0,0
P2R2_Silkwood_North_drain,Silkwood,North_drain,10/03/2016,0.2,0.008,0.016,0.18,0.20,,4,,,,,,,,1.3,0,0.07,0.09,0.11,0.07,0,0,0
P2R2_Silkwood_South_drain,Silkwood,South_drain,10/03/2016,0.38,0.009,0.029,0.35,0.39,,11,,,,,,,,3.6,3,0.26,0.3,0.08,0.27,0.02,0,0.02
P2R2_Silkwood_South_drain,Silkwood,South_drain,10/03/2016,0.21,0.006,0.014,0.2,0.22,,4,,,,,,,,3.3,2.7,0.18,0.2,0,0.19,0,0,0
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,14/03/2016,0.34,0.028,0.026,0.31,0.36,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,14/03/2016,0.15,0.014,0.014,0.14,0.17,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,14/03/2016,0.28,0.006,0.055,0.22,0.28,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,14/03/2016,0.16,0.004,0.011,0.15,0.17,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,14/03/2016,0.59,0.016,0.345,0.25,0.61,,,,,,,,,,1.6,1.3,0.13,0.49,0.11,0.14,0,0,0
P2R2_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,18/03/2016,,0.006,0.005,,0.01,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,18/03/2016,,0.004,0.01,,0.01,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,18/03/2016,0.23,0.005,0.02,0.21,0.24,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,18/03/2016,0.29,0.018,0.013,0.28,0.31,,,,,,,,,,,,,,,,,,
P2R2_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,18/03/2016,0.82,0.022,0.329,0.49,0.84,,37,,,,,,,,4.4,3,0.3,0.65,0.17,0.32,0.04,0.02,0.03
NESP_Silkwood_North_drain,Silkwood,North_drain,21/12/2016,0.35,0.018,0.003,0.35,0.37,,2,2.7,0.9,8,0,0,0,,2.9,2.6,0.23,0.25,0.1,0.25,0,0,0
NESP_Silkwood_North_drain,Silkwood,North_drain,5/01/2017,0.8,0.005,0,0.8,0.81,,5,2.2,0.8,8,0,0,0,,3.6,3.7,0.23,0.23,0.56,0.23,0.04,0,0
NESP_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,5/01/2017,1.61,0.003,1.4,0.2,1.60,,,4.5,0.8,6,0,1.11,0,,1,0.7,0.08,1.49,0.12,0.08,0,0,0
NESP_Silkwood_North_drain,Silkwood,North_drain,8/01/2017,6.2,1.63,3.01,3.2,7.84,,27,3.7,1.5,4,9,1.9,0,,6.8,5.4,0.65,5.29,0.92,2.28,0.1,0.02,0.07
NESP_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,8/01/2017,7.47,0.554,6.66,0.81,8.02,,9,9,2.5,6,7,2.16,0,,4.4,4.2,0,7.12,0.35,0.46,0,0,0.04
NESP_Silkwood_South_drain,Silkwood,South_drain,8/01/2017,1.99,0.017,1.4,0.58,2.00,,2,3.3,1,7,0,1.04,0,,1.6,1.3,0.24,1.66,0.32,0.26,0,0,0.03
NESP_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,8/01/2017,,0.074,3.03,,3.10,,,7.6,1.1,6,0,2.56,0,,,,,,,,,,
NESP_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,8/01/2017,,0.006,1.67,,1.68,,,17.5,0.8,7,0,2.02,0,,,,,,,,,,
NESP_Silkwood_Stn2_Esky_drain,Silkwood,Stn2_esky_drain,8/01/2017,,1.55,10.7,,12.25,,,13.3,2.5,7,14,0,0,,,,,,,,,,
NESP_Silkwood_Stn4_Esky_drain,Silkwood,Stn4_esky_drain,8/01/2017,,0.01,0.568,,0.58,,,9.5,1.8,7,9,0,0,,,,,,,,,,
NESP_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,9/01/2017,2.36,0.168,1.35,1.01,2.53,,,2.1,0.7,0,3,1.28,0,,4.3,3.3,0.18,1.7,0.67,0.35,0.08,0,0.03
NESP_Silkwood_North_drain,Silkwood,North_drain,10/01/2017,1.34,0.227,0.274,1.06,1.56,,13,2.1,0.6,0,4,1.26,0,,5.1,5,0.07,0.57,0.77,0.3,0.09,0,0.03
NESP_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,10/01/2017,1.64,0.091,0.937,0.7,1.73,,9,3.2,0.9,3,3,2.24,0,,4.2,4,0.16,1.19,0.45,0.25,0.04,0,0
NESP_Silkwood_South_drain,Silkwood,South_drain,10/01/2017,1.14,0.011,0.681,0.46,1.15,,3,2.8,0.8,6,0,1.03,0,,1.5,1.3,0.14,0.83,0.31,0.15,0.03,0,0
NESP_Silkwood_Stn2_Peizo,Silkwood,Stn2_piezo,10/01/2017,1.55,0.119,1.05,0.5,1.67,,,5.5,0.8,6,2,2.46,0,,2.1,1.8,0.1,1.27,0.28,0.22,0,0,0
NESP_Silkwood_Stn3_Peizo,Silkwood,Stn3_piezo,10/01/2017,1.45,0.005,0.979,0.48,1.46,,,9.6,0.7,8,0,2.5,0,,2,1.4,0.16,1.15,0.31,0.17,0.02,0,0
NESP_Silkwood_North_drain,Silkwood,North_drain,11/01/2017,1.05,0.111,0.476,0.58,1.17,,23,2.5,0.7,4,3,1.35,0,,3.4,3.3,0.07,0.66,0.4,0.18,0.04,0,0
NESP_Silkwood_NE_corner_drain,Silkwood,NE_corner_drain,11/01/2017,1.29,0.071,0.467,0.82,1.36,,16,2.7,0.7,2,3,2.12,0,,4.9,4.7,0.16,0.69,0.6,0.23,0.06,0,0.02
NESP_Silkwood_South_drain,Silkwood,South_drain,11/01/2017,1.5,0.011,1.03,0.47,1.51,,3,2.6,0.7,5,0,1.07,0,,1.7,1.5,0.13,1.17,0.33,0.14,0.02,0,0
